programming,mathematics,communication,problemSolving,creativity,leadership,analyticalThinking,teamwork,dataAnalysis,networking,logical_aptitude,verbal_aptitude,quantitative_aptitude,career
9,4,7,9,4,6,7,8,4,9,81,57,69,DevOps Engineer
3,6,9,7,5,8,9,6,7,4,75,88,78,Business Analyst
4,6,7,8,3,5,8,6,5,9,90,71,73,Network Engineer
7,9,6,9,4,3,9,5,8,3,87,56,96,Data Scientist
4,5,6,9,4,4,7,7,4,9,78,64,71,Network Engineer
9,8,3,9,6,5,9,6,8,3,86,52,86,ML Engineer
7,7,6,8,6,5,9,7,4,4,81,70,77,Software Developer
6,5,7,8,7,5,9,6,5,9,85,74,74,Cybersecurity Analyst
7,5,6,7,5,5,9,5,5,8,79,66,80,Cloud Engineer
4,3,8,7,8,5,6,7,4,3,58,87,57,UX/UI Designer
3,3,9,9,9,5,7,7,6,3,67,84,54,UX/UI Designer
9,6,5,9,5,6,7,6,5,4,77,72,82,Software Developer
4,3,8,7,10,5,6,9,5,3,67,86,53,UX/UI Designer
9,4,5,8,4,5,8,7,3,8,86,72,73,DevOps Engineer
10,9,4,9,5,3,10,5,9,3,87,55,86,ML Engineer
5,5,10,8,8,10,8,8,7,6,77,91,71,Product Manager
7,4,5,9,5,6,7,8,4,8,81,61,69,DevOps Engineer
6,7,7,8,7,5,7,7,5,9,81,70,76,Cybersecurity Analyst
5,9,5,7,3,3,8,6,9,2,84,64,88,Data Scientist
8,6,6,8,4,6,7,8,4,8,89,66,79,DevOps Engineer
7,6,5,9,6,5,8,7,5,8,87,73,63,Cybersecurity Analyst
5,4,9,7,10,6,6,8,5,3,55,80,60,UX/UI Designer
5,6,9,9,4,7,8,7,7,5,77,84,81,Business Analyst
5,5,6,8,2,4,6,6,4,9,79,70,79,Network Engineer
3,4,9,8,9,6,7,6,5,3,68,78,53,UX/UI Designer
8,6,5,8,5,6,7,8,5,9,80,64,81,DevOps Engineer
9,5,6,8,4,5,7,6,4,8,82,62,79,Cloud Engineer
3,5,6,6,4,5,8,6,5,9,81,64,76,Network Engineer
7,9,6,6,3,4,9,5,9,3,95,66,91,Data Scientist
7,6,6,8,6,4,8,5,4,5,88,64,90,Software Developer
7,9,7,8,5,3,8,5,9,3,83,66,90,Data Scientist
7,4,5,8,4,7,8,8,6,9,85,64,65,Cloud Engineer
6,6,5,8,8,5,7,5,5,9,80,72,71,Cybersecurity Analyst
9,9,4,7,6,4,9,6,9,3,87,64,88,ML Engineer
6,5,6,8,8,5,8,6,6,10,85,68,77,Cybersecurity Analyst
9,5,5,8,4,4,8,8,4,8,89,73,66,DevOps Engineer
5,8,9,7,5,7,8,6,8,6,78,87,71,Business Analyst
6,9,5,7,5,5,8,5,9,3,86,58,90,Data Scientist
7,5,6,8,5,4,8,8,4,8,78,71,68,Cloud Engineer
7,5,6,8,5,4,7,8,4,8,92,67,80,Cloud Engineer
6,10,5,7,4,3,9,6,8,3,87,60,93,Data Scientist
10,9,5,7,6,3,8,5,9,2,97,64,92,ML Engineer
4,6,9,8,7,10,8,9,7,6,74,82,62,Product Manager
7,9,5,6,4,4,9,5,10,3,84,62,86,Data Scientist
8,8,5,8,6,6,8,7,6,4,78,62,85,Software Developer
9,10,5,10,5,3,8,4,8,3,86,50,91,ML Engineer
9,9,5,7,5,3,8,6,9,4,86,57,93,ML Engineer
9,4,5,7,5,5,8,8,4,8,88,71,72,DevOps Engineer
3,3,10,6,9,4,6,7,6,3,64,84,59,UX/UI Designer
3,5,8,7,8,6,6,8,4,4,68,89,48,UX/UI Designer
7,6,5,8,6,4,7,6,6,5,87,55,77,Software Developer
5,5,8,9,6,6,10,8,5,9,78,67,64,Cybersecurity Analyst
7,6,6,8,7,5,9,6,5,9,89,64,71,Cybersecurity Analyst
4,5,8,7,9,6,7,8,4,3,68,87,54,UX/UI Designer
7,6,6,7,6,5,8,6,5,10,85,65,75,Cloud Engineer
6,9,6,8,4,3,9,5,9,3,84,56,92,Data Scientist
9,5,5,9,5,6,7,7,4,9,86,65,83,DevOps Engineer
5,6,9,9,9,10,9,9,7,7,80,87,73,Product Manager
3,2,8,6,9,5,5,8,5,3,70,90,50,UX/UI Designer
9,6,5,8,7,5,8,8,4,5,87,64,90,Software Developer
10,6,5,8,6,5,8,5,5,4,75,62,73,Software Developer
3,3,9,7,9,6,7,7,5,4,70,85,49,UX/UI Designer
4,6,8,7,5,8,9,8,8,4,70,87,76,Business Analyst
6,9,6,9,5,5,10,6,8,3,87,60,88,Data Scientist
4,6,6,7,2,5,8,7,5,9,86,67,78,Network Engineer
4,7,8,8,5,7,9,8,8,4,65,88,69,Business Analyst
8,5,5,7,4,5,7,7,5,7,73,60,75,Cloud Engineer
4,7,8,8,6,8,9,6,7,5,83,80,83,Business Analyst
6,9,4,9,4,3,9,5,9,2,82,53,89,Data Scientist
8,7,5,8,4,4,7,7,5,4,86,66,85,Software Developer
6,6,6,7,5,5,6,7,3,7,83,71,70,Cloud Engineer
7,6,6,8,4,5,7,7,5,6,77,65,75,Software Developer
9,9,4,7,6,2,8,6,8,4,83,60,92,ML Engineer
4,6,6,8,3,4,8,7,4,10,80,69,76,Network Engineer
7,6,5,7,4,6,8,7,4,8,81,68,66,Cloud Engineer
9,8,5,9,6,5,7,6,10,3,93,54,87,ML Engineer
10,6,5,8,4,5,6,6,3,4,88,58,71,Software Developer
4,4,9,7,9,6,6,7,4,3,62,95,59,UX/UI Designer
8,6,4,9,6,4,7,7,3,5,86,62,87,Software Developer
8,5,6,8,4,5,8,7,5,9,89,60,76,Cloud Engineer
5,5,8,10,7,10,8,10,6,5,76,88,75,Product Manager
4,5,9,9,8,9,9,9,7,6,74,85,62,Product Manager
6,7,6,9,7,6,8,6,5,9,85,74,68,Cybersecurity Analyst
6,5,7,9,7,5,10,6,7,10,88,79,73,Cybersecurity Analyst
6,5,8,8,8,5,8,6,6,9,89,67,62,Cybersecurity Analyst
4,4,6,6,3,4,7,6,5,9,79,66,70,Network Engineer
10,9,3,8,6,3,7,5,7,3,87,58,95,ML Engineer
9,9,5,9,6,3,8,6,8,3,92,58,88,ML Engineer
6,9,6,8,6,3,8,5,9,3,93,59,84,Data Scientist
4,6,9,7,6,8,7,9,7,5,78,86,72,Business Analyst
4,5,9,9,9,9,9,9,6,4,85,88,77,Product Manager
9,4,6,9,5,6,7,8,4,9,87,58,73,DevOps Engineer
4,6,9,9,8,9,9,10,7,5,81,92,70,Product Manager
6,6,6,8,7,6,8,6,7,10,86,78,76,Cybersecurity Analyst
4,6,9,9,8,9,10,9,7,6,78,87,70,Product Manager
3,6,8,9,8,9,9,10,7,6,78,88,73,Product Manager
7,6,6,7,6,6,10,6,5,10,87,72,60,Cybersecurity Analyst
9,3,6,7,4,6,7,6,4,8,93,57,76,DevOps Engineer
7,9,6,8,4,3,8,6,9,3,88,52,93,Data Scientist
9,5,6,7,3,5,7,7,4,8,86,68,73,Cloud Engineer
6,10,5,7,5,3,9,5,9,3,87,50,88,Data Scientist
9,7,6,8,6,3,6,6,4,5,88,59,84,Software Developer
3,5,9,6,9,4,8,8,4,3,68,85,57,UX/UI Designer
4,6,8,8,6,8,8,7,8,5,66,93,71,Business Analyst
7,6,7,7,5,4,7,7,5,9,87,66,77,Cloud Engineer
9,6,7,10,4,3,8,6,4,5,88,64,80,Software Developer
7,9,7,8,6,2,9,5,8,3,92,57,91,Data Scientist
8,5,6,7,6,6,7,7,5,8,86,67,74,Cloud Engineer
4,5,9,9,8,8,8,8,7,5,78,93,76,Product Manager
5,6,9,9,5,8,9,8,6,4,71,93,69,Business Analyst
8,5,6,9,6,5,8,6,6,9,83,70,73,Cybersecurity Analyst
5,6,5,8,3,5,7,6,5,9,84,61,74,Network Engineer
9,6,5,8,5,6,8,6,4,4,90,62,87,Software Developer
8,10,3,10,5,2,8,7,9,3,85,61,89,ML Engineer
5,4,9,10,7,9,9,9,6,5,77,87,80,Product Manager
4,4,8,7,8,6,6,9,3,3,68,84,57,UX/UI Designer
6,10,7,8,4,3,9,6,9,3,92,55,89,Data Scientist
8,4,5,7,6,5,7,7,4,9,84,60,70,DevOps Engineer
8,6,8,7,7,6,9,6,5,9,83,74,71,Cybersecurity Analyst
4,5,9,8,6,8,8,8,9,4,78,89,78,Business Analyst
8,8,4,8,5,3,8,6,10,3,96,64,94,ML Engineer
9,8,5,9,6,4,10,5,8,3,91,62,89,ML Engineer
9,5,5,8,3,5,7,7,4,9,82,68,72,DevOps Engineer
5,9,4,7,4,3,9,5,9,4,92,54,95,Data Scientist
6,9,6,7,4,4,10,6,9,3,82,54,90,Data Scientist
8,5,6,7,4,5,6,7,3,8,75,68,72,Cloud Engineer
7,5,7,7,7,5,8,7,6,9,90,74,78,Cybersecurity Analyst
7,8,4,9,5,3,9,6,9,4,89,50,89,Data Scientist
5,6,9,9,8,8,9,10,7,5,86,91,78,Product Manager
7,6,6,6,3,5,8,8,5,10,79,69,75,Cloud Engineer
5,6,8,7,4,7,8,8,6,5,82,90,80,Business Analyst
5,7,8,7,6,8,9,7,8,4,76,88,79,Business Analyst
3,4,9,7,9,5,5,8,4,3,68,92,50,UX/UI Designer
9,6,7,9,4,5,7,7,4,6,78,67,89,Software Developer
10,10,6,9,6,2,7,5,9,3,90,58,92,ML Engineer
4,4,8,7,9,5,7,8,4,3,68,91,65,UX/UI Designer
7,9,5,6,5,2,9,6,8,3,90,68,84,Data Scientist
7,6,5,8,4,6,7,6,5,8,77,65,68,Cloud Engineer
3,4,8,8,9,6,7,8,4,3,68,83,60,UX/UI Designer
4,6,7,7,5,3,8,7,4,9,80,71,74,Network Engineer
8,5,5,9,6,3,7,8,6,5,87,59,76,Software Developer
7,6,6,7,4,7,7,5,4,9,90,72,65,Cloud Engineer
6,4,7,8,6,6,10,7,5,9,84,68,61,Cybersecurity Analyst
4,5,9,9,6,9,10,8,6,5,68,83,67,Product Manager
5,6,9,8,8,9,10,9,7,7,81,87,74,Product Manager
7,5,7,9,7,6,8,7,5,9,75,73,62,Cybersecurity Analyst
3,7,9,9,8,9,9,10,7,5,83,85,71,Product Manager
4,4,6,7,4,5,8,6,5,9,83,73,73,Network Engineer
3,4,9,8,8,6,6,6,4,3,61,93,58,UX/UI Designer
6,6,7,7,5,5,9,7,4,9,76,59,70,Network Engineer
6,9,6,7,5,4,9,5,10,4,89,69,94,Data Scientist
2,4,9,6,8,5,6,7,4,3,65,79,57,UX/UI Designer
6,5,7,8,7,5,9,8,5,9,79,72,65,Cybersecurity Analyst
5,5,7,8,3,6,7,6,4,9,79,68,65,Network Engineer
4,6,9,8,7,9,8,9,7,4,80,86,72,Product Manager
6,6,5,9,7,6,8,6,6,9,81,68,67,Cybersecurity Analyst
6,6,6,6,4,4,7,6,5,9,79,71,76,Network Engineer
9,9,4,8,6,3,9,5,9,4,92,57,88,ML Engineer
4,4,8,8,9,6,7,7,4,3,62,90,54,UX/UI Designer
6,4,6,8,7,7,9,6,5,8,75,78,74,Cybersecurity Analyst
6,6,5,9,7,5,9,7,5,9,81,74,77,Cybersecurity Analyst
9,7,5,9,5,5,8,6,6,5,75,68,78,Software Developer
5,7,9,9,8,8,9,9,6,4,80,85,71,Product Manager
6,7,10,8,4,7,8,9,7,4,72,87,75,Business Analyst
7,6,6,8,5,6,7,7,5,9,81,67,77,Cloud Engineer
6,6,7,9,6,7,9,7,6,9,77,80,75,Cybersecurity Analyst
9,9,4,8,5,5,9,6,9,3,91,58,90,ML Engineer
4,6,9,7,6,7,9,8,8,6,78,88,79,Business Analyst
7,10,6,7,5,3,9,6,10,2,88,63,93,Data Scientist
6,5,7,8,5,4,9,7,5,9,86,69,75,Network Engineer
4,5,9,10,7,9,9,9,6,6,84,91,72,Product Manager
9,6,5,10,5,6,7,7,4,4,85,64,81,Software Developer
9,5,4,9,5,5,7,7,4,9,87,63,79,DevOps Engineer
3,4,9,7,9,6,8,7,4,4,67,85,61,UX/UI Designer
4,5,9,9,7,9,8,9,7,6,85,94,70,Product Manager
5,6,6,8,3,4,7,8,5,9,75,65,75,Network Engineer
9,6,6,9,7,5,8,7,5,4,91,74,90,Software Developer
5,9,7,6,5,3,9,5,10,3,86,63,89,Data Scientist
8,5,6,9,6,6,8,6,5,8,82,62,68,Cybersecurity Analyst
6,6,7,8,4,5,7,7,5,9,83,67,76,Network Engineer
3,3,10,7,9,6,8,7,4,2,70,89,56,UX/UI Designer
7,5,6,8,4,7,7,7,4,9,81,63,73,Cloud Engineer
6,10,5,8,5,4,8,6,9,4,89,64,87,Data Scientist
6,6,6,8,6,4,8,8,6,8,86,71,68,Cybersecurity Analyst
7,5,6,8,5,4,8,6,5,4,81,66,80,Software Developer
5,6,7,7,6,8,9,7,6,4,79,88,75,Business Analyst
10,9,5,8,6,4,9,7,9,3,87,55,94,ML Engineer
9,7,6,7,5,5,8,8,6,3,89,55,88,Software Developer
7,4,7,7,6,5,9,7,6,10,85,67,63,Cybersecurity Analyst
4,4,5,6,3,4,8,7,5,8,89,66,71,Network Engineer
9,5,6,8,4,6,8,7,4,8,76,66,79,DevOps Engineer
8,6,6,8,5,5,6,8,6,4,78,64,75,Software Developer
3,8,9,7,7,8,10,8,6,4,73,81,70,Business Analyst
5,7,8,8,5,6,8,8,6,4,75,88,77,Business Analyst
5,6,8,7,8,8,9,8,7,6,71,86,74,Product Manager
8,9,6,7,4,5,9,5,10,4,89,57,90,Data Scientist
4,7,9,8,8,9,9,8,6,5,79,86,72,Product Manager
8,5,5,10,5,5,7,9,4,8,85,64,79,DevOps Engineer
5,5,7,8,4,4,8,6,5,9,80,61,66,Network Engineer
9,7,5,7,6,5,7,7,5,4,88,64,73,Software Developer
6,6,7,8,6,7,9,6,5,9,84,71,69,Cybersecurity Analyst
8,4,6,8,5,7,7,7,5,8,82,60,67,DevOps Engineer
4,7,7,8,7,7,8,7,8,4,77,85,69,Business Analyst
3,5,9,8,8,4,6,7,5,2,69,89,54,UX/UI Designer
8,5,7,8,4,6,7,6,5,9,75,68,72,Cloud Engineer
8,5,5,8,5,5,7,7,4,9,77,70,73,Cloud Engineer
8,8,3,9,5,3,9,6,9,3,93,50,93,ML Engineer
6,6,9,9,6,9,9,6,7,4,66,78,78,Business Analyst
9,9,5,9,7,4,8,6,7,3,93,61,94,ML Engineer
3,3,9,6,10,6,6,9,4,3,66,94,56,UX/UI Designer
8,6,4,8,4,6,8,7,4,9,80,70,80,DevOps Engineer
5,5,6,7,3,4,7,7,5,9,89,68,76,Network Engineer
5,5,7,9,3,5,6,6,5,9,78,62,71,Network Engineer
4,7,9,7,5,7,8,7,8,5,72,91,74,Business Analyst
6,6,7,6,4,7,8,7,5,7,82,73,74,Cloud Engineer
9,8,5,9,5,3,9,6,9,3,81,58,89,ML Engineer
4,6,10,8,8,8,9,9,6,6,77,97,73,Product Manager
9,7,6,8,6,4,8,7,5,5,81,63,83,Software Developer
8,6,5,8,5,4,6,7,4,5,79,57,86,Software Developer
9,4,5,10,5,5,7,8,5,9,91,67,76,DevOps Engineer
8,7,6,8,5,6,6,7,5,10,79,73,68,Cloud Engineer
8,5,5,8,4,5,9,7,6,9,80,72,78,Cloud Engineer
5,8,6,7,5,3,8,5,9,3,84,64,92,Data Scientist
7,7,4,8,5,5,7,6,4,8,79,60,77,Cloud Engineer
7,7,6,9,6,4,9,6,4,4,82,55,81,Software Developer
10,5,5,9,6,3,6,5,4,4,87,61,74,Software Developer
5,5,9,8,8,9,7,8,6,6,73,86,70,Product Manager
8,4,7,9,4,5,7,7,5,9,93,72,72,DevOps Engineer
7,9,6,6,4,3,8,6,9,2,80,56,88,Data Scientist
6,4,6,8,5,5,7,6,6,9,83,72,76,Cloud Engineer
4,5,8,6,4,5,7,6,5,9,83,69,72,Network Engineer
5,4,6,7,5,5,7,7,4,9,71,63,70,Network Engineer
6,9,6,7,4,5,9,5,9,3,92,55,93,Data Scientist
4,6,10,8,6,8,8,9,8,4,76,90,78,Business Analyst
9,9,6,9,5,4,9,6,9,4,81,58,90,ML Engineer
5,6,9,9,7,9,8,9,7,6,74,92,68,Product Manager
10,9,5,7,6,4,8,4,8,3,89,58,89,ML Engineer
9,4,6,9,6,6,7,8,6,9,83,67,73,DevOps Engineer
9,9,5,8,6,4,9,6,10,3,94,56,95,ML Engineer
3,3,9,8,9,6,6,6,5,3,61,88,57,UX/UI Designer
3,2,9,8,9,6,8,8,5,3,60,85,55,UX/UI Designer
7,5,6,9,7,6,9,8,7,9,80,66,74,Cybersecurity Analyst
10,7,7,9,4,5,7,5,3,5,88,67,78,Software Developer
4,8,9,6,5,7,9,7,8,5,73,79,72,Business Analyst
8,5,5,7,4,5,7,7,4,9,80,65,74,Cloud Engineer
5,6,8,8,6,7,9,8,7,4,78,83,80,Business Analyst
4,6,9,7,7,9,7,9,6,6,73,84,73,Product Manager
4,7,8,7,5,7,7,7,7,5,72,86,80,Business Analyst
9,7,6,8,6,6,9,7,4,6,79,63,77,Software Developer
7,6,6,9,6,4,9,6,6,9,83,72,70,Cybersecurity Analyst
3,3,7,8,10,6,8,7,5,2,74,91,60,UX/UI Designer
3,6,7,7,4,5,8,7,4,9,80,58,76,Network Engineer
4,4,8,8,9,4,6,9,4,3,75,83,52,UX/UI Designer
4,3,9,7,9,7,8,8,4,3,60,84,46,UX/UI Designer
5,8,9,8,5,7,8,7,7,4,76,84,75,Business Analyst
5,5,6,8,4,4,7,6,5,9,75,61,67,Network Engineer
7,5,5,9,6,4,8,6,5,8,83,76,74,Cybersecurity Analyst
7,5,4,8,4,6,8,6,5,9,82,60,81,Cloud Engineer
9,4,5,7,4,5,8,8,3,10,75,66,72,DevOps Engineer
8,6,5,8,5,5,8,8,4,4,85,64,80,Software Developer
3,2,10,7,9,5,7,7,4,2,55,82,61,UX/UI Designer
9,9,4,8,5,4,9,7,7,3,91,50,97,ML Engineer
4,5,8,7,4,4,6,7,5,8,85,63,66,Network Engineer
7,5,5,7,7,6,8,6,7,9,79,72,73,Cybersecurity Analyst
6,5,6,9,6,6,9,6,5,9,82,63,64,Cybersecurity Analyst
8,6,7,8,5,4,8,6,5,5,89,72,77,Software Developer
4,6,9,9,6,9,9,7,8,6,70,87,75,Business Analyst
5,4,10,9,9,6,7,7,4,2,69,91,61,UX/UI Designer
9,5,6,9,6,5,9,7,5,7,78,66,77,DevOps Engineer
5,6,8,9,6,9,9,10,7,7,78,87,69,Product Manager
5,7,8,8,5,7,8,6,8,5,75,84,68,Business Analyst
7,10,7,7,4,3,10,4,9,3,94,55,94,Data Scientist
3,3,9,7,9,6,6,7,4,3,64,93,54,UX/UI Designer
9,6,6,9,4,5,6,7,6,8,77,72,71,Cloud Engineer
6,9,5,7,4,2,8,6,8,3,82,64,90,Data Scientist
4,7,7,7,4,4,9,7,4,9,76,59,80,Network Engineer
8,6,7,7,3,5,8,6,4,8,77,71,82,Cloud Engineer
4,4,9,8,9,5,5,7,5,3,71,88,56,UX/UI Designer
9,9,5,9,4,4,10,7,9,3,86,59,86,ML Engineer
7,9,6,7,5,4,9,5,9,3,78,57,94,Data Scientist
3,5,10,7,8,5,7,7,4,3,61,93,60,UX/UI Designer
5,6,8,7,7,7,9,7,8,5,69,83,78,Business Analyst
7,4,6,10,7,4,8,6,6,10,87,73,73,Cybersecurity Analyst
8,5,5,6,5,5,7,6,4,8,78,61,73,Cloud Engineer
3,4,9,9,8,7,7,8,4,2,71,82,58,UX/UI Designer
2,3,8,8,9,6,8,8,3,3,63,89,57,UX/UI Designer
6,6,6,9,7,6,8,7,6,10,89,75,74,Cybersecurity Analyst
6,10,6,7,6,3,8,6,10,3,85,68,93,Data Scientist
8,9,5,10,6,3,8,6,9,3,90,64,98,ML Engineer
6,10,5,8,5,2,9,6,9,3,85,53,97,Data Scientist
6,5,7,8,6,7,8,7,5,9,86,73,76,Cybersecurity Analyst
4,4,10,7,7,10,9,9,8,5,81,85,79,Product Manager
5,5,9,8,8,8,8,9,7,4,82,90,77,Product Manager
7,6,6,6,5,6,8,6,4,8,84,65,77,Cloud Engineer
7,4,5,8,3,6,7,8,6,8,81,67,66,DevOps Engineer
3,4,10,8,9,6,5,7,5,3,63,91,45,UX/UI Designer
4,5,8,7,3,4,7,8,5,9,73,66,77,Network Engineer
5,6,8,9,7,9,8,9,7,5,80,84,65,Product Manager
4,5,7,7,2,4,8,7,6,8,70,72,69,Network Engineer
5,5,6,7,5,4,8,7,6,9,84,67,72,Network Engineer
7,5,5,9,6,6,9,6,6,10,82,78,68,Cybersecurity Analyst
9,8,4,9,4,3,8,6,8,4,87,59,89,ML Engineer
6,5,7,9,7,5,8,7,5,9,87,75,75,Cybersecurity Analyst
8,9,4,8,5,3,9,5,9,2,87,65,92,ML Engineer
5,5,9,8,5,7,9,7,8,5,77,84,67,Business Analyst
6,5,9,7,7,9,8,9,5,6,72,86,73,Product Manager
5,6,8,9,7,8,9,9,5,6,69,88,66,Product Manager
7,7,6,7,5,6,8,7,5,9,84,66,70,Cloud Engineer
5,6,9,7,5,7,9,8,7,4,77,85,74,Business Analyst
6,5,6,9,6,6,8,7,5,9,84,73,64,Cybersecurity Analyst
8,5,5,9,4,6,8,8,5,8,83,65,79,DevOps Engineer
5,7,9,8,5,8,10,8,9,4,75,92,73,Business Analyst
7,6,5,9,5,4,6,6,4,7,77,67,67,Cloud Engineer
8,4,5,10,6,7,7,7,5,8,83,60,78,DevOps Engineer
4,5,7,7,3,4,7,7,3,9,79,72,76,Network Engineer
3,6,7,9,3,4,6,8,5,10,78,66,73,Network Engineer
3,5,8,8,8,5,7,8,5,3,67,83,60,UX/UI Designer
6,7,7,8,3,3,7,7,4,9,81,66,72,Network Engineer
9,9,3,8,6,4,9,6,8,3,86,56,87,ML Engineer
9,9,4,9,5,4,9,6,8,3,87,62,90,ML Engineer
8,5,4,9,5,6,8,7,3,8,82,58,81,DevOps Engineer
4,5,5,8,2,4,8,6,5,9,84,66,71,Network Engineer
4,6,9,9,8,9,8,8,6,4,77,87,73,Product Manager
9,6,6,9,5,5,7,6,4,6,87,70,76,Software Developer
3,3,8,7,9,5,7,8,5,3,68,86,55,UX/UI Designer
8,6,5,9,6,5,8,7,5,4,81,63,82,Software Developer
10,9,4,10,6,4,9,6,9,3,88,55,89,ML Engineer
5,5,8,9,8,9,7,8,8,5,79,90,65,Product Manager
7,9,5,8,6,4,9,6,9,2,90,52,97,Data Scientist
4,6,8,6,6,6,7,7,6,3,70,79,71,Business Analyst
9,9,5,9,5,3,8,4,9,4,91,55,88,ML Engineer
5,9,7,7,4,3,9,6,9,4,83,59,94,Data Scientist
7,6,6,8,6,5,9,6,5,10,85,65,68,Cybersecurity Analyst
5,5,9,9,7,10,8,9,7,5,73,88,80,Product Manager
10,9,5,10,4,3,8,7,8,4,82,60,89,ML Engineer
4,6,9,7,7,9,10,9,6,5,80,93,69,Product Manager
6,9,6,7,5,2,9,5,10,3,78,50,86,Data Scientist
5,4,9,8,9,8,7,9,7,4,73,95,76,Product Manager
6,5,5,8,7,6,9,6,5,8,85,71,68,Cybersecurity Analyst
8,10,4,9,5,4,8,5,7,2,85,49,89,ML Engineer
4,7,7,8,6,8,9,8,7,4,81,92,76,Business Analyst
9,9,5,8,4,4,8,6,9,4,85,64,84,ML Engineer
8,5,5,8,4,7,8,8,5,9,73,64,76,Cloud Engineer
8,3,7,8,4,6,8,7,5,8,81,69,70,DevOps Engineer
4,5,8,7,4,5,7,7,6,9,81,68,68,Network Engineer
6,6,6,7,6,6,7,7,6,9,87,74,62,Cybersecurity Analyst
8,8,6,9,4,5,8,6,4,4,94,60,78,Software Developer
6,6,9,8,5,6,8,7,9,6,74,87,73,Business Analyst
5,6,8,6,5,8,8,7,8,6,71,85,67,Business Analyst
8,6,5,9,5,5,6,7,4,4,90,58,80,Software Developer
5,7,9,6,7,7,9,7,8,4,69,93,77,Business Analyst
4,7,10,8,5,7,9,7,7,5,76,84,75,Business Analyst
10,5,5,8,4,6,9,7,5,9,84,63,77,DevOps Engineer
9,9,4,8,5,4,8,7,8,4,84,56,87,ML Engineer
8,6,6,8,5,5,8,6,5,10,92,72,81,Cloud Engineer
3,5,9,8,8,9,8,9,5,6,77,82,70,Product Manager
4,6,6,8,4,5,8,7,4,9,83,61,78,Network Engineer
6,9,6,6,5,3,9,6,9,3,83,61,90,Data Scientist
2,5,9,7,9,7,6,8,4,3,70,85,57,UX/UI Designer
9,7,6,9,6,5,7,7,3,4,87,71,81,Software Developer
6,6,7,7,3,6,8,6,5,9,91,70,68,Cloud Engineer
6,6,8,6,5,8,8,8,8,4,80,86,74,Business Analyst
4,6,6,8,3,5,9,5,4,8,79,66,76,Network Engineer
9,8,7,8,6,6,8,7,5,4,78,70,78,Software Developer
5,7,8,7,6,9,7,7,8,4,72,92,75,Business Analyst
3,6,8,8,7,9,7,9,7,5,76,82,80,Product Manager
5,7,7,7,2,5,8,7,5,9,80,63,66,Network Engineer
4,7,8,8,5,7,10,8,7,3,70,84,74,Business Analyst
2,3,8,7,8,5,7,8,6,3,70,85,53,UX/UI Designer
5,5,7,8,7,7,9,7,5,9,79,73,75,Cybersecurity Analyst
8,4,4,9,4,7,8,6,3,9,85,75,73,Cloud Engineer
5,5,9,8,8,9,9,10,7,6,75,87,66,Product Manager
9,9,5,9,4,4,7,6,8,3,93,48,88,ML Engineer
7,6,4,7,4,6,7,7,6,9,85,64,73,Cloud Engineer
8,6,5,9,5,5,8,6,4,5,94,62,86,Software Developer
5,5,7,7,3,6,8,6,3,10,79,68,70,Network Engineer
10,9,3,9,5,3,8,5,10,4,93,68,88,ML Engineer
5,5,7,7,3,5,7,6,5,9,81,61,80,Network Engineer
6,8,5,7,5,3,9,6,9,3,88,50,86,Data Scientist
9,6,6,8,5,6,7,6,4,8,75,68,78,Cloud Engineer
6,10,5,8,4,4,9,6,10,4,87,54,95,Data Scientist
5,6,9,7,7,9,8,7,9,5,70,91,73,Business Analyst
4,5,7,7,3,5,8,6,5,8,77,63,73,Network Engineer
7,6,8,7,6,6,7,8,6,8,87,66,65,Cybersecurity Analyst
6,9,5,6,5,3,9,5,10,2,83,64,98,Data Scientist
6,10,6,7,5,4,9,6,9,3,84,55,87,Data Scientist
6,5,7,9,6,6,10,6,6,8,86,63,73,Cybersecurity Analyst
5,6,9,9,6,9,7,9,8,5,72,90,76,Product Manager
3,4,8,6,10,6,6,8,4,3,71,85,57,UX/UI Designer
3,3,9,9,9,5,7,8,4,3,68,80,65,UX/UI Designer
6,10,4,9,6,3,9,7,9,3,85,66,88,Data Scientist
4,6,7,7,5,4,8,6,4,9,77,67,75,Network Engineer
